stock_code,num_sheets,sheet_names,is_same_sheets,corp_code,corp_name,modify_date,sector,product,corp_cls,market_type
204020,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,671978,그리티,20230221,봉제의복 제조업,"내의(원더브라, 플레이텍스, 미싱도로시, 르페)",K,KOSDAQ
294090,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,1274310,이오플로우,20230403,의료용 기기 제조업,웨어러블 인슐린펌프,K,KOSDAQ
031860,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,180865,에스유홀딩스,20230828,상품 종합 도매업,FLC,K,KOSDAQ
082210,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,327396,옵트론텍,20240507,사진장비 및 광학기기 제조업,"IRFilter,Grating",K,KOSDAQ
051980,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,347716,중앙첨단소재,20240705,통신 및 방송 장비 제조업,PVC샤시,K,KOSDAQ
314130,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,1276026,지놈앤컴퍼니,20240329,기초 의약물질 제조업,"마이크로바이옴 기반 치료제, 화장품, 건강기능식품",K,KOSDAQ
075180,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,305668,새론오토모티브,20240401,자동차 신품 부품 제조업,"자동차부품(브레이크패드,라이닝)",Y,KOSPI
373200,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,1514698,엑스플러스,20240424,그외 기타 제품 제조업,모바일 IT응용제품 외,K,KOSDAQ
006260,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,105952,LS,20230106,기타 금융업,"전력용전선,일반전선,통신케이블,동선,알루미늄선,공조기,프라스틱사출성형기 제조,도매",Y,KOSPI
127120,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,642541,디엔에이링크,20240826,자연과학 및 공학 연구개발업,"유전체분석(EGIS), 개인유전체분석(DNAGPS)",K,KOSDAQ
090850,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,656951,현대이지웰,20221206,소프트웨어 개발 및 공급업,선택적복리후생서비스,K,KOSDAQ
033180,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,193009,KH 필룩스,20231108,전자부품 제조업,"전자부품(페라이트코아,트랜스포머,데코램프) 제조/온라인정보 제공/부동산 임대",Y,KOSPI
196700,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,864338,웹스,20221213,합성고무 및 플라스틱 물질 제조업,"기능성 컴파운드, 건축외장자재",K,KOSDAQ
095340,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,572905,ISC,20231005,기계장비 및 관련 물품 도매업,반도체테스트소켓,K,KOSDAQ
039200,7,"['info', 'Data_bs', 'Labels_bs', 'Data_cis', 'Labels_cis', 'Data_cf', 'Labels_cf']",True,263654,오스코텍,20240701,의약품 제조업,"뼈이식재,건강식품소재",K,KOSDAQ
