"Data_cf....1","Data_cf..D520000..현금흐름표..간접법...연결...Statement.of.cash.flows..indirect.method...Consolidated.financial.statements..Unit..KRW.","Data_cf....3","Data_cf....4","Data_cf....5","Data_cf....6","Data_cf....7","Data_cf....8","Data_cf.20230101.20231231","Data_cf.20220101.20221231","Data_cf.20210101.20211231","Data_cf.20200101.20201231","Data_cf.20190101.20191231","Data_cf.20180101.20181231","Data_cf.20170101.20171231","Data_cf.20160101.20161231"
NA,"concept_id","label_ko","label_en","class0","class1","class2","class3","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
71,"ifrs-full_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities","무형자산의 취득","Purchase of intangible assets","현금흐름표 [개요]","투자활동현금흐름","무형자산의 취득",NA,"-1804938503","-1663134892","-2830174239","-400231363","-708513293","-243609980","-343625329","-1473890510"
72,"ifrs-full_ProceedsFromSalesOfInvestmentProperty","투자부동산의 처분","Proceeds from sales of investment property","현금흐름표 [개요]","투자활동현금흐름","투자부동산의 처분",NA,"0","3920628148","200000000","0","0",NA,NA,NA
73,"entity00119195_IncreaseInDepositsOfCashFlowsFromUsedInInvestingActivities","보증금의 증가","Increase in deposits","현금흐름표 [개요]","투자활동현금흐름","보증금의 증가",NA,"-194842011","-1212488224","-89935991","28761104","587705750","0","150000000","20635440"
74,"dart_DecreaseInGuaranteeDeposits","보증금의 감소","Decrease in guarantee deposits","현금흐름표 [개요]","투자활동현금흐름","보증금의 감소",NA,"43172023","90226932","489750800","87545888","557016123","0","88621033","21000000"
75,"ifrs-full_ProceedsFromGovernmentGrantsClassifiedAsInvestingActivities","국고보조금의 증가","Proceeds from government grants","현금흐름표 [개요]","투자활동현금흐름","국고보조금의 증가",NA,"0","100000000","0","102000000","0","0",NA,NA
76,"entity00119195_udf_CF_202381011424555_CashFlowsFromUsedInInvestingActivities","리스채권의 회수","lease receivables","현금흐름표 [개요]","투자활동현금흐름","리스채권의 회수",NA,"34379513","0","0",NA,NA,NA,NA,NA
77,"ifrs-full_CashFlowsFromUsedInFinancingActivities","재무활동현금흐름","Cash flows from (used in) financing activities","현금흐름표 [개요]","재무활동현금흐름",NA,NA,"5865503201","-12013033236","-8782890261","-5458054188","-4937574198","-3831159500","-3919633436","-4213178400"
78,"ifrs-full_DividendsPaidClassifiedAsFinancingActivities","배당금지급","Dividends paid","현금흐름표 [개요]","재무활동현금흐름","배당금지급",NA,"-4982243400","-4982243400","-4969391400","-3312927600","-3312927600","-4141159500","-3043120300","-2213178400"
79,"dart_PaymentsOfFinanceLeaseLiabilitiesClassifiedAsFinancingActivities","리스부채의 지급","Payments of finance lease liabilities","현금흐름표 [개요]","재무활동현금흐름","리스부채의 지급",NA,"-2652253399","-2030789836","-2013498861","-2145126588","-1624646598","-0","-0",NA
80,"dart_ProceedsFromShortTermBorrowings","단기차입금의 차입","Proceeds from short term borrowings","현금흐름표 [개요]","재무활동현금흐름","단기차입금의 차입",NA,"2500000000","2500000000","2500000000","1000000000","0","0",NA,NA
81,"dart_RepaymentsOfShortTermBorrowings","단기차입금의 상환","Repayments of short term borrowings","현금흐름표 [개요]","재무활동현금흐름","단기차입금의 상환",NA,"-5000000000","-4500000000","-7800000000","1000000000","0","0",NA,"2000000000"
82,"dart_ProceedsFromLongTermBorrowings","장기차입금의 증가","Proceeds from long term borrowings","현금흐름표 [개요]","재무활동현금흐름","장기차입금의 증가",NA,"16000000000","0","3500000000","0","0",NA,NA,NA
83,"dart_RepaymentsOfLongTermBorrowings","장기차입금의 상환","Repayments of long term borrowings","현금흐름표 [개요]","재무활동현금흐름","장기차입금의 상환",NA,"-0","-3000000000","-0","0",NA,NA,NA,NA
84,"ifrs-full_IncreaseDecreaseInCashAndCashEquivalentsBeforeEffectOfExchangeRateChanges","환율변동효과 반영전 현금및현금성자산의 순증가(감소)","Net increase (decrease) in cash and cash equivalents before effect of exchange rate changes","현금흐름표 [개요]","환율변동효과 반영전 현금및현금성자산의 순증가(감소)",NA,NA,"37895062664","-26064296885","1834453787","20939325984","-2831053120","9026151602","-4129582660","-9159954302"
85,"ifrs-full_EffectOfExchangeRateChangesOnCashAndCashEquivalents","현금및현금성자산에 대한 환율변동효과","Effect of exchange rate changes on cash and cash equivalents","현금흐름표 [개요]","현금및현금성자산에 대한 환율변동효과",NA,NA,"74948559","-68242190","48757897","-122077560","-4279196","193021","-12623832","955516"
86,"ifrs-full_IncreaseDecreaseInCashAndCashEquivalents","현금및현금성자산의순증가(감소)","Net increase (decrease) in cash and cash equivalents after effect of exchange rate changes","현금흐름표 [개요]","현금및현금성자산의순증가(감소)",NA,NA,"37970011223","-26132539075","1883211684","20817248424","-2835332316","9026344623","-4142206492","-9158998786"
87,"dart_CashAndCashEquivalentsAtBeginningOfPeriodCf","기초현금및현금성자산","Cash and cash equivalents at beginning of period","현금흐름표 [개요]","기초현금및현금성자산",NA,NA,"34347103567","60479642642","58596430958","37779182534","40614514850","31588170227","35730376719","44889375505"
88,"dart_CashAndCashEquivalentsAtEndOfPeriodCf","기말현금및현금성자산","Cash and cash equivalents at end of period","현금흐름표 [개요]","기말현금및현금성자산",NA,NA,"72317114790","34347103567","60479642642","58596430958","37779182534","40614514850","31588170227","35730376719"
